age,education,marital_status,worker_class,occupation_code,hours_per_week,sex,race,income,state,income_estimate_from_peers
63,16.0,Married,"Private, for-profit",3601,30.0,Female,1,17400.0,6,15176.0
66,21.0,Divorced,State government,5710,40.0,Female,2,57100.0,6,64320.0
38,18.0,Married,"Private, for-profit",6260,30.0,Male ,8,40000.0,6,39063.0
29,22.0,Never married,Local government,3230,40.0,Female,1,75000.0,6,77692.0
34,16.0,Married,"Private, for-profit",2600,4.0,Female,1,160.0,6,-9949.0
27,,Never married,"Private, for-profit",4800,40.0,Male,1,5200.0,6,5388.0
44,22.0,Married,"Private, non-profit",300,40.0,Male,6,150200.0,6,147128.0
40,21.0,Married,State government,2360,40.0,Female,8,62000.0,6,65108.0
27,19.0,Married,"Private, for-profit",9645,40.0,Male,1,30900.0,6,31654.0
45,21.0,Married,"Private, for-profit",20,40.0,Female,1,150000.0,6,137926.0
52,20.0,Married,"Self-employed, unincorporated",2600,40.0,Male,1,50000.0,6,46465.0
70,21.0,Married,"Self-employed, unincorporated",800,40.0,Male,6,79200.0,6,81691.0
58,22.0,Married,"Self-employed, unincorporated",440,35.0,Female,6,36000.0,6,37379.0
24,16.0,Never married,"Private, for-profit",4230,30.0,Female,1,20000.0,6,31003.0
40,16.0,Married,Local government,6730,40.0,Male,1,105000.0,6,98909.0
20,19.0,Never married,"Private, for-profit",4220,12.0,Male,1,,6,
47,22.0,Married,"Private, for-profit",2310,35.0,Female,1,9500.0,6,11862.0
46,24.0,Married,"Private, non-profit",2205,60.0,Male,1,150000.0,6,150767.0
57,19.0,Married,"Private, for-profit",4760,28.0,Female,1,31500.0,6,32082.0
57,19.0,Married,"Private, for-profit",5860,40.0, Female,1,101000.0,6,98034.0
49,,Married,"Private, for-profit",110,50.0,Male,1,120000.0,6,129958.0
37,15.0,Divorced,"Private, for-profit",7700,40.0,Male,1,28000.0,6,30932.0
49,19.0,Married,"Self-employed, unincorporated",3630,25.0,Female,1,6000.0,6,8650.0
37,22.0,Separated,"Self-employed, unincorporated",2100,40.0,Female,1,30000.0,6,32831.0
43,20.0,Never married,"Self-employed, unincorporated",2634,40.0,Male,2,72030.0,6,78647.0
23,20.0,Never married,"Private, for-profit",3603,30.0,Female,2,12000.0,6,12340.0
22,19.0,Never married,"Private, for-profit",4130,20.0,Male ,1,6500.0,6,7245.0
31,16.0,Never married,"Private, for-profit",9121,30.0,Male,9,21000.0,6,16601.0
60,16.0,Married,"Private, for-profit",4220,30.0,Male,7,8000.0,6,9834.0
70,12.0,Married,"Private, for-profit",4140,50.0,Male,6,9000.0,6,12691.0
53,21.0,Divorced,"Private, for-profit",4850,45.0,Male,6,38000.0,6,44891.0
26,19.0,Married,"Private, for-profit",910,40.0,Male,8,51000.0,6,49130.0
32,15.0,Married,"Private, for-profit",6230,30.0,Male,1,38000.0,6,33947.0
59,15.0,Married,"Private, for-profit",4230,40.0,Female,9,24000.0,6,20992.0
58,13.0,Widowed,"Private, for-profit",4220,36.0,Female,1,6400.0,6,5967.0
67,21.0,Married,"Private, non-profit",230,50.0,Female,1,125000.0,6,130930.0
39,12.0,Married,"Private, for-profit",6050,40.0,male,1,35000.0,6,35046.0
42,13.0,Married,"Private, for-profit",4110,20.0,Female,1,11400.0,6,6879.0
71,20.0,Married,"Private, for-profit",10,30.0,Male,1,,6,
34,21.0,Married,"Private, for-profit",1410,40.0,Male,1,75000.0,6,74498.0
55,17.0,Married,"Private, for-profit",9005,40.0,Male,1,130000.0,6,128884.0
25,20.0,Never married,"Private, for-profit",5400,40.0,Female,2,10000.0,6,9495.0
25,21.0,Never married,"Private, for-profit",8740,30.0,Male,6,12000.0,6,17001.0
47,21.0,Married,"Private, for-profit",530,25.0,Female,1,24000.0,6,21402.0
58,12.0,Never married,"Private, for-profit",8740,40.0,Female,8,36000.0,6,37600.0
54,,Married,"Private, for-profit",220,55.0,Female,1,183280.0,6,180535.0
48,16.0,Married,"Private, for-profit",5860,40.0,Female,8,52000.0,6,48093.0
42,22.0,Married,"Private, for-profit",800,50.0,Female,6,150500.0,6,149773.0
65,21.0,Married,"Private, for-profit",800,40.0,Female,6,66000.0,6,66120.0
64,23.0,Married,"Private, for-profit",1460,40.0,Male,1,12000.0,6,6492.0
42,17.0,Divorced,Local government,2016,40.0,Female,3,54000.0,6,58262.0
59,22.0,Married,"Private, for-profit",1410,50.0,Female,6,120000.0,6,117844.0
24,20.0,Never married,"Private, for-profit",4020,25.0,Male,8,20000.0,6,20314.0
33,18.0,Never married,"Private, for-profit",52,65.0,Male,6,40000.0,6,37436.0
58,22.0,Married,"Private, for-profit",440,40.0,Male,1,173000.0,6,171547.0
50,12.0,Married,"Private, for-profit",9610,40.0,Female,8,28000.0,6,24918.0
49,21.0,Separated ,"Private, for-profit",640,40.0,Female,1,90000.0,6,85074.0
20,19.0,Never married,"Private, for-profit",4150,20.0,Female,1,8000.0,6,4553.0
32,23.0,Married,Local government,2100,60.0,Female,6,107000.0,6,109402.0
30,19.0,Never married,"Private, for-profit",6442,40.0,Male,1,40000.0,6,43623.0
19,19.0,Never married,"Private, for-profit",1970,40.0,Male,6,4000.0,6,10389.0
57,19.0,Married,"Private, for-profit",1555,45.0,Male,1,85480.0,6,83312.0
35,19.0,Never married,"Private, for-profit",4200,40.0,Male,8,50000.0,6,52836.0
23,19.0,Never married,"Private, for-profit",9130,27.0,Female,1,20000.0,6,10548.0
41,13.0,Divorced,"Private, for-profit",8740,40.0,Female,9,35000.0,6,33489.0
44,13.0,Married,"Private, non-profit",4220,1.0,Female,9,11340.0,6,7949.0
30,19.0,Married,"Private, for-profit",9620,16.0,Male,1,18000.0,6,13379.0
23,16.0,Never married,"Private, for-profit",5240,70.0,Male,1,17000.0,6,4564.0
36,23.0,Married,"Self-employed, unincorporated",3090,20.0,Female,6,372000.0,6,368474.0
30,14.0,Married,"Private, for-profit",8990,40.0,Male,8,9000.0,6,5374.0
35,21.0,Never married,State government,2320,40.0,Male,1,100200.0,6,98015.0
66,22.0,Married,"Self-employed, unincorporated",850,20.0,Male,1,90300.0,6,87366.0
34,21.0,Never married,Federal government,4020,40.0,Male,2,35000.0,6,37743.0
60,18.0,Married,"Self-employed, unincorporated",2861,30.0,Female,1,47000.0,6,49818.0
38,19.0,Married,"Private, for-profit",6355,45.0,Male,1,20000.0,6,23361.0
49,,Married,"Private, for-profit",5110,24.0,Female,1,30000.0,6,29046.0
23,17.0,Never married,Federal government,3740,71.0,Male,1,24000.0,6,29663.0
54,22.0,Married,"Private, for-profit",1006,40.0,Female,6,110300.0,6,106731.0
47,21.0,Never married,"Private, for-profit",7420,40.0,Male,1,,6,
50,24.0,Married,"Private, for-profit",4710,50.0,Male,6,,6,
57,14.0,Divorced,"Private, for-profit",9130,50.0,Male,1,70000.0,6,75207.0
22,19.0,Never married,"Private, for-profit",4720,25.0,Female,8,10000.0,6,13985.0
44,16.0,Married,"Private, for-profit",9620,40.0,Male,6,55000.0,6,54785.0
28,21.0,Never married,"Private, for-profit",630,40.0,Male,1,54200.0,6,56329.0
26,16.0,Never married,"Private, for-profit",4720,40.0,Female,1,20000.0,6,17075.0
30,21.0,Never married,State government,1108,40.0,Female,1,,6,
19,15.0,Never married,"Private, for-profit",4030,30.0,Male,6,7000.0,6,3902.0
59,21.0,Married,Local government,440,50.0,Male,1,120000.0,6,117590.0
56,24.0,Married,"Self-employed, incorporated",4621,17.0,Female,1,20300.0,6,20719.0
44,21.0,Divorced,"Self-employed, incorporated",4700,40.0,Female,1,2500.0,6,3323.0
42,21.0,Married,"Private, for-profit",4525,40.0,Male,1,40000.0,6,39589.0
26,14.0,Married,"Private, for-profit",4230,40.0,Female,8,20300.0,6,30408.0
33,18.0,Married,Federal government,630,40.0,Male,2,,6,
53,16.0,Never married,State government,3602,30.0,Female,1,22000.0,6,22396.0
65,19.0,Married,"Self-employed, unincorporated",3602,25.0,Male,1,14400.0,6,10599.0
37,21.0,Married,"Private, for-profit",1410,40.0,Male,6,,6,
41,13.0,Married,"Private, for-profit",9150,56.0,Male,1,60000.0,6,59568.0
30,16.0,Separated,"Private, for-profit",6200,40.0,FEMALE,1,30000.0,6,30574.0
24,21.0,Never married,"Private, for-profit",7810,24.0,Male,6,13000.0,6,13241.0
29,19.0,Never married,"Private, for-profit",4700,40.0,Male,1,32000.0,6,28159.0
30,21.0,Married,"Self-employed, unincorporated",2910,30.0,Female,1,35000.0,6,23532.0
58,21.0,Married,State government,2320,35.0,Male,1,90000.0,6,86105.0
49,12.0,Widowed,"Private, for-profit",4110,40.0,Male,8,22100.0,6,20169.0
31,18.0,Never married,"Self-employed, unincorporated",205,40.0,Male,1,15000.0,6,23502.0
81,16.0,Divorced,"Private, for-profit",5400,13.0,Female,1,30600.0,6,28391.0
40,21.0,Divorced,"Private, for-profit",630,40.0,Female,1,60000.0,6,60548.0
36,21.0,Married,"Private, for-profit",2850,40.0,Female,6,33000.0,6,32782.0
41,16.0,Married,"Private, for-profit",6230,30.0,Male,8,17200.0,6,18050.0
22,,Never married,Local government,4030,32.0,Male,9,12000.0,6,14124.0
42,21.0,Divorced,"Private, for-profit",9130,55.0,Male,1,132000.0,6,123652.0
28,16.0,Married,State government,4252,40.0,Male,3,42000.0,6,50967.0
27,8.0,Married,"Private, for-profit",3603,,Female,8,24000.0,6,32339.0
50,,Never married,"Private, for-profit",8140,27.0,Male,1,28000.0,6,24161.0
67,22.0,Married,"Private, for-profit",4920,12.0,Female,6,126600.0,6,138227.0
19,15.0,Never married,"Private, for-profit",4220,10.0,Male,1,,6,
33,18.0,Never married,"Private, for-profit",5240,40.0,Female,1,36000.0,6,31851.0
33,19.0,Married,"Private, for-profit",9620,40.0,Male,6,35200.0,6,39852.0
40,16.0,Married,"Private, for-profit",6260,40.0,Male,8,50000.0,6,42287.0
48,19.0,Married,"Self-employed, unincorporated",4700,20.0,Male,1,18000.0,6,12248.0
25,16.0,Never married,"Private, for-profit",4521,40.0,Female,6,19000.0,6,11657.0
46,,Married,"Private, for-profit",4810,29.0,Female,1,28000.0,6,22223.0
35,1.0,Never married,"Private, for-profit",1050,25.0,Male,1,3000.0,6,6012.0
30,21.0,Never married,Local government,5120,40.0,Female,6,45030.0,6,45436.0
32,22.0,Married,"Private, for-profit",8950,40.0,Male,6,52000.0,6,55912.0
27,21.0,Never married,"Private, for-profit",5860,40.0,Male,1,30000.0,6,20904.0
49,1.0,Married,"Private, for-profit",4251,30.0,Male,8,11500.0,6,6195.0
40,19.0,Never married ,"Private, for-profit",830,40.0,Female,8,40000.0,6,39839.0
43,22.0,Married,"Private, non-profit",3160,20.0,Female,1,64000.0,6,65887.0
56,5.0,Married,"Private, for-profit",6710,1.0,Male,1,500.0,6,-8338.0
43,15.0,Married,"Self-employed, incorporated",4710,,male,9,8300.0,6,7859.0
23,21.0,Never married,"Private, for-profit",1105,32.0,Female,6,8000.0,6,3330.0
67,14.0,Never married,"Private, non-profit",5240,16.0,Male,1,18500.0,6,20267.0
65,21.0,Divorced,"Private, for-profit",5740,40.0,Female,6,80000.0,6,77286.0
24,21.0,Never married,"Private, for-profit",4760,30.0,Female,9,3200.0,6,2107.0
39,18.0,Married,"Self-employed, incorporated",2710,40.0,Female,1,,6,
23,21.0,Never married,"Private, non-profit",5320,15.0,Male,6,6000.0,6,8078.0
40,16.0,Married,"Self-employed, unincorporated",4760,40.0,male,1,36000.0,6,34153.0
29,21.0,Never married,"Private, for-profit",800,42.0,Female,8,50000.0,6,54930.0
28,21.0,Never married,"Private, for-profit",2850,50.0,Female,1,74000.0,6,74140.0
21,19.0,Never married,"Private, for-profit",4850,20.0,Female,1,13000.0,6,18443.0
43,21.0,Married,"Private, for-profit",3160,40.0,Male,1,,6,
20,16.0,Never married,"Private, for-profit",5240,27.0,Male,1,7000.0,6,7458.0
53,21.0,Married,"Private, for-profit",4850,40.0,Male,1,150000.0,6,144453.0
44,19.0,Never married,"Private, for-profit",5300,5.0,Female,1,5100.0,6,13498.0
49,9.0,Married,"Private, for-profit",5860,24.0,Female,8,12500.0,6,14273.0
29,18.0,Never married,"Private, for-profit",2632,40.0,Male,6,25000.0,6,31277.0
22,19.0,Never married,"Private, for-profit",4720,40.0,Male,1,12000.0,6,6250.0
37,21.0,Married,"Private, for-profit",1021,25.0,Female,1,55000.0,6,53626.0
56,21.0,Married,Local government,1825,40.0,Female,2,97000.0,6,97870.0
38,21.0,Married,"Private, non-profit",51,20.0,Female,1,90000.0,6,88335.0
72,9.0,Divorced,"Private, for-profit",8225,40.0,Male,1,15000.0,6,17112.0
25,19.0,Married,"Private, for-profit",5350,40.0,Male,1,34000.0,6,36228.0
51,20.0,Married,"Self-employed, incorporated",9130,60.0,Male,6,25000.0,6,21565.0
20,16.0,Never married,Federal government,9825,60.0,Male,1,18500.0,6,20649.0
55,,Divorced,"Self-employed, unincorporated",4700,80.0,Female,1,42500.0,6,42631.0
59,22.0,Married,Local government,2310,21.0,Female,1,8000.0,6,13280.0
56,22.0,Married,"Private, for-profit",10,56.0,Male,1,188100.0,6,182141.0
53,20.0,Married,Local government,2545,40.0,Female,1,49100.0,6,47565.0
21,19.0,Never married,"Private, for-profit",4700,,Female,8,13000.0,6,14548.0
28,19.0,Never married,"Private, for-profit",9130,40.0,Male,7,55000.0,6,63053.0
37,20.0,Married,Federal government,1530,60.0,Male,1,50000.0,6,46423.0
44,20.0,Married,"Private, for-profit",5240,32.0,Female,9,42000.0,6,45468.0
43,19.0,Married,"Private, for-profit",5810,40.0,Female,1,8000.0,6,15080.0
68,,Married,"Private, for-profit",205,60.0,Male,8,74200.0,6,71717.0
63,22.0,Married,"Self-employed, incorporated",10,40.0,Female,2,129200.0,6,123995.0
58,21.0,Married,"Private, non-profit",230,50.0,Female,1,52000.0,6,53178.0
51,19.0,Married,"Private, for-profit",5860,16.0,Female,6,10000.0,6,13626.0
66,21.0,Married,"Private, for-profit",3300,40.0,Male,6,107990.0,6,104533.0
24,21.0,Never married,"Private, for-profit",4600,15.0,Female,1,22000.0,6,17910.0
62,17.0,Married,Federal government,5550,-1.0,Female,1,43000.0,6,44558.0
38,22.0,Married,"Private, non-profit",2013,40.0,Male,1,57000.0,6,60186.0
47,19.0,Married,"Private, for-profit",735,40.0,male,1,,6,
25,18.0,Never married,"Private, for-profit",6230,40.0,Male,9,7000.0,6,6066.0
49,16.0,Widowed,"Self-employed, incorporated",8500,40.0,Male,1,35000.0,6,32722.0
46,,Married,"Private, for-profit",2300,20.0,Female,1,15300.0,6,14672.0
65,24.0,Married ,State government,2205,40.0,Male,1,131000.0,6,134714.0
35,20.0,Married,Local government,4220,40.0,Female,1,15000.0,6,22064.0
33,,Never married,"Private, for-profit",8740,50.0,Male,2,32000.0,6,25507.0
20,19.0,Never married,"Private, for-profit",4760,38.0,Female,1,20000.0,6,11271.0
57,22.0,Married,"Private, non-profit",230,50.0,Male,1,85000.0,6,84362.0
20,14.0,Never married,"Private, for-profit",5900,46.0,Female,8,5000.0,6,7858.0
51,16.0,Divorced,"Private, for-profit",5860,50.0,Female,1,32700.0,6,29220.0
32,21.0,Married,"Private, for-profit",1021,40.0,Male,6,77000.0,6,79723.0
32,16.0,Married,"Private, for-profit",4700,40.0,Male,8,56010.0,6,61408.0
57,19.0,Married,"Private, for-profit",9130,35.0,Male,1,90000.0,6,84990.0
39,21.0,Married,"Self-employed, unincorporated",9142,40.0,Male,6,25000.0,6,29977.0
69,21.0,Married,"Private, for-profit",440,30.0,Male,1,76600.0,6,80663.0
31,21.0,Never married,"Private, for-profit",1720,40.0,Female,6,50000.0,6,42241.0
24,21.0,Never married,"Private, for-profit",7800,38.0,Male,6,48000.0,6,46167.0
63,,Never married,"Self-employed, incorporated",800,40.0,Male,1,85000.0,6,83567.0
40,13.0,Married,"Private, for-profit",7200,40.0,Male,1,20000.0,6,20584.0
21,16.0,Never married,"Private, for-profit",5740,40.0,Male,1,4000.0,6,7601.0
43,23.0,Married,"Private, for-profit",3250,-1.0,Male,1,90000.0,6,100112.0
44,19.0,Never married,"Self-employed, unincorporated",440,50.0,Female,1,24000.0,6,28340.0
39,19.0,Married,"Private, for-profit",9130,40.0,Male,1,49000.0,6,52847.0
53,19.0,Never married,Local government,2300,40.0,Female,3,24000.0,6,18568.0
61,16.0,Divorced,"Private, for-profit",5740,,Female,1,25000.0,6,29733.0
36,21.0,Married,"Private, for-profit",310,40.0,Female,1,60000.0,6,49219.0
27,,Never married,"Private, for-profit",4130,30.0,Male,1,40400.0,6,45669.0
43,,Divorced,"Private, non-profit",3255,40.0,Male,9,80000.0,6,78974.0
42,22.0,Married,Federal government,6230,32.0,Female,1,7900.0,6,8788.0
24,21.0,Never married,"Private, for-profit",4030,40.0,Female,1,25000.0,6,30315.0
30,21.0,Never married,"Private, for-profit",4710,40.0,Male,8,60000.0,6,55470.0
42,19.0,Married,"Private, for-profit",2710,40.0,Female,1,111300.0,6,108438.0
23,20.0,Never married,Local government,4540,40.0,Female,8,15000.0,6,28045.0
50,17.0,Married,"Private, for-profit",4230,40.0,Female,1,42000.0,6,44400.0
40,19.0,Married,"Private, for-profit",4700,40.0,Male,1,50000.0,6,49435.0
61,19.0,Married,"Private, for-profit",3300,40.0,Female,1,100000.0,6,102997.0
28,22.0,Never married,"Private, for-profit",440,60.0,Female,1,70000.0,6,53635.0
28,15.0,Married,"Private, for-profit",6260,40.0,Male,1,20000.0,6,29399.0
68,24.0,Divorced,"Self-employed, incorporated",2555,10.0,Female,1,35000.0,6,39268.0
32,22.0,Married,"Private, for-profit",1530,40.0,Male,6,100000.0,6,101073.0
41,16.0,Never married,"Private, for-profit",4020,40.0,Male,8,21600.0,6,26870.0
43,22.0,Married,State government,2310,40.0,Female,6,100000.0,6,94417.0
47,16.0,Never married,"Private, for-profit",5110,45.0,Female,2,60000.0,6,66112.0
37,6.0,Never married,"Private, for-profit",7700,40.0,Female,8,26000.0,6,24374.0
19,16.0,Never married,"Private, non-profit",5240,5.0,Female,6,500.0,6,7085.0
56,12.0,Married,"Private, for-profit",6040,40.0,Female,1,25000.0,6,26273.0
50,21.0,Married,"Private, for-profit",4820,45.0,Male,1,265000.0,6,267507.0
32,21.0,Never married,"Private, for-profit",3322,50.0,Male,2,90000.0,6,91995.0
75,16.0,Married,"Private, for-profit",4020,15.0,Female,1,28100.0,6,28160.0
34,19.0,Divorced,"Private, for-profit",310,40.0,Female,2,77000.0,6,77336.0
49,16.0,Married,"Private, for-profit",9130,60.0,Male,1,80000.0,6,77761.0
45,17.0,Never married,"Self-employed, unincorporated",7640,30.0,Male,1,10000.0,6,14350.0
51,16.0,Married,"Self-employed, incorporated",5120,20.0,Female,1,12000.0,6,10847.0
59,19.0,Married,"Private, non-profit",2300,40.0,Female,1,33900.0,6,35284.0
25,16.0,Never married,"Private, non-profit",8300,42.0,Male,1,28000.0,6,25592.0
24,21.0,Never married,"Private, for-profit",4140,40.0,Male,1,15000.0,6,12399.0
48,16.0,Married,Local government,5000,40.0,Female,8,90000.0,6,89084.0
47,22.0,Married,Local government,2320,,Male,6,100000.0,6,94487.0
24,21.0,Never married,Local government,3255,36.0,Male,7,28000.0,6,27186.0
32,,Married,"Private, for-profit",6260,-1.0,Male,8,48000.0,6,53156.0
55,19.0,Never married,"Private, for-profit",340,,Male,2,75000.0,6,75975.0
58,19.0,Married,"Private, for-profit",7200,50.0,Male,1,55500.0,6,48993.0
72,8.0,Widowed,"Self-employed, incorporated",205,50.0,Male,8,26500.0,6,28294.0
37,13.0,Married,"Private, for-profit",6230,40.0,Male,1,100000.0,6,98852.0
44,19.0,Married,"Self-employed, unincorporated",3601,24.0,Female,3,1200.0,6,9930.0
31,16.0,Married,"Private, for-profit",3930,40.0,Male,8,58000.0,6,56754.0
32,16.0,Never married,"Private, for-profit",7750,40.0,Male,6,32000.0,6,30506.0
46,19.0,Married,"Self-employed, unincorporated",4700,35.0,Male,1,64000.0,6,74167.0
47,19.0,Never married,"Private, for-profit",9645,35.0,Male,6,42000.0,6,37890.0
53,19.0,Married,Local government,5500,40.0,Male,1,24000.0,6,20013.0
40,21.0,Married,"Self-employed, unincorporated",2752,25.0,Male,1,40000.0,6,34178.0
44,22.0,Married,"Private, non-profit",2040,50.0,Male,1,63000.0,6,62016.0
28,19.0,Married,Federal government,340,70.0,Male,1,,6,
28,22.0,Never married,"Self-employed, incorporated",10,80.0,Female,1,9120.0,6,5295.0
38,,Married,"Private, for-profit",1050,40.0,Male,1,60000.0,6,52237.0
60,12.0,Married,"Self-employed, incorporated",4230,40.0,Female,1,12000.0,6,15564.0
65,16.0,Divorced,"Self-employed, unincorporated",4510,40.0,Female,1,24000.0,6,33707.0
47,21.0,Married,"Private, for-profit",3255,36.0,Female,6,105000.0,6,100911.0
28,17.0,Never married,"Private, for-profit",1021,40.0,Male,1,74350.0,6,69031.0
27,22.0,Never married,"Private, non-profit",2004,40.0,Female,1,49000.0,6,52641.0
66,22.0,Widowed,"Self-employed, unincorporated",220,30.0,Male,1,43000.0,6,48117.0
59,19.0,Married,"Private, for-profit",5120,40.0,Female,1,50000.0,6,60611.0
19,16.0,Never married,"Private, non-profit",6050,40.0,Female,8,16000.0,6,6530.0
49,18.0,Married,"Private, for-profit",4840,40.0,Male,1,120000.0,6,127090.0
29,20.0,Never married,"Private, non-profit",1360,40.0,Male,1,67000.0,6,63523.0
28,21.0,Married,Local government,2016,40.0,Female,8,30000.0,6,33150.0
46,11.0,Married,"Self-employed, unincorporated",6442,20.0,Male,8,18700.0,6,17277.0
54,20.0,Married,"Private, for-profit",7000,52.0,Male,1,60000.0,6,64168.0
36,24.0,Married,"Private, non-profit",2205,50.0,Female,1,175200.0,6,179584.0
26,18.0,Never married,"Private, for-profit",5810,5.0,Female,1,2000.0,6,-807.0
64,19.0,Never married,"Private, for-profit",6230,40.0,Male,1,20000.0,6,27933.0
27,22.0,Never married,Local government,2825,30.0,male,6,7700.0,6,8583.0
31,20.0,Never married,Local government,4251,20.0,Male,1,14000.0,6,5250.0
32,19.0,Never married,State government,2545,30.0,Female,1,28800.0,6,21631.0
34,19.0,Divorced,"Private, for-profit",1050,40.0,Female,1,,6,
40,19.0,Divorced,"Private, non-profit",350,40.0,Male,1,35000.0,6,28850.0
34,22.0,Married,"Self-employed, unincorporated",2350,5.0,Male,1,9000.0,6,6097.0
29,24.0,Never married,"Private, non-profit",3910,,Male,1,70000.0,6,65481.0
26,21.0,Never married,"Private, for-profit",5710,50.0,Female,1,51000.0,6,50400.0
61,19.0,Married,Local government,3605,40.0,Male,3,9000.0,6,9440.0
47,21.0,Married,"Self-employed, incorporated",440,60.0,Male,1,500000.0,6,500006.0
49,21.0,Never married,"Private, for-profit",120,60.0,Female,1,500000.0,6,490166.0
52,23.0,Married,"Private, for-profit",3602,,Female,6,,6,
63,21.0,Widowed,"Self-employed, unincorporated",4230,40.0,Female,8,22000.0,6,24132.0
25,13.0,Married,"Private, for-profit",9640,30.0,Female,8,15000.0,6,18868.0
76,21.0,Widowed,"Self-employed, unincorporated",2350,6.0,Female,1,35100.0,6,37835.0
38,16.0,Separated ,"Self-employed, unincorporated",4510,50.0,Female,1,35000.0,6,36460.0
50,20.0,Married,State government,1106,45.0,Male,1,93000.0,6,83078.0
42,21.0,Married,"Self-employed, unincorporated",440,32.0,Male,6,8400.0,6,10039.0
24,21.0,Never married,Federal government,9825,12.0,Male,1,20000.0,6,6449.0
56,9.0,Married,"Self-employed, unincorporated",4200,30.0,Female,8,27000.0,6,21506.0
56,22.0,Divorced,Local government,2205,40.0,Female,6,137000.0,6,133557.0
58,21.0,Married,"Private, for-profit",4251,50.0,Male,1,80000.0,6,86357.0
32,16.0,Married,"Private, for-profit",7220,40.0,Male,1,56000.0,6,49757.0
56,15.0,Married,"Private, for-profit",4820,40.0,Female,1,,6,
31,,Married,"Private, for-profit",8450,-1.0,Male,1,43000.0,6,44350.0
29,21.0,Never married,"Private, for-profit",410,50.0,Female,2,45000.0,6,40612.0
39,21.0,Married,"Private, for-profit",52,40.0,Female,1,82000.0,6,89812.0
26,16.0,Never married,State government,6200,40.0,Male,9,7000.0,6,4154.0
38,22.0,Never married,"Private, for-profit",630,65.0,Male,2,4000.0,6,9118.0
37,21.0,Married,"Private, for-profit",4700,40.0,Female,9,150000.0,6,153374.0
61,20.0,Married,"Private, for-profit",7150,40.0,Male,1,77000.0,6,81811.0
39,24.0,Never married,"Self-employed, unincorporated",3261,30.0,Female,1,29000.0,6,33260.0
26,20.0,Never married,"Private, for-profit",3930,52.0,Male,1,25000.0,6,29132.0
32,20.0,Married,"Self-employed, incorporated",4340,35.0,Female,1,140000.0,6,147007.0
20,16.0,Never married,"Private, for-profit",4150,12.0,Male,1,2000.0,6,7428.0
50,19.0,Never married,"Private, for-profit",5860,40.0,Male,1,24000.0,6,24420.0
46,21.0,Married,"Private, for-profit",10,55.0,Male,8,200000.0,6,205409.0
49,20.0,Divorced,"Private, for-profit",9142,2.0,Male,1,220.0,6,-9197.0
52,,Divorced,Local government,3602,65.0,Male,1,49000.0,6,45998.0
48,21.0,Married,"Private, for-profit",630,40.0,Female,8,130000.0,6,134631.0
51,9.0,Married,"Self-employed, unincorporated",4251,30.0,Male,8,26000.0,6,19806.0
50,16.0,Divorced,Local government,3500,44.0,Female,1,37400.0,6,34631.0
57,15.0,Separated,"Self-employed, incorporated",9142,18.0,Male,1,11000.0,6,11795.0
54,20.0,Married,"Private, for-profit",3646,35.0,Female,1,27600.0,6,16431.0
49,18.0,Married,"Private, for-profit",3603,8.0,Female,1,14000.0,6,15093.0
50,13.0,Married,"Private, for-profit",9130,40.0,Male,1,45000.0,6,48689.0
51,,Widowed,"Private, for-profit",3255,40.0,Female,1,90000.0,6,86436.0
28,19.0,Married,"Private, for-profit",9620,40.0,Male,1,28000.0,6,20424.0
35,19.0,Married,"Self-employed, incorporated",2752,12.0,Female,9,15630.0,6,15607.0
65,9.0,Married,"Private, for-profit",5860,40.0,Female,6,42800.0,6,40860.0
51,17.0,Married,"Self-employed, unincorporated",600,20.0,Male,1,25000.0,6,23754.0
54,,Divorced,State government,3602,40.0,Female,6,50000.0,6,54220.0
23,16.0,Never married,"Private, for-profit",52,40.0,Female,8,10000.0,6,10841.0
36,23.0,Married,"Private, for-profit",2100,,Male,1,250000.0,6,253925.0
52,22.0,Never married,Local government,1980,40.0,Female,6,124200.0,6,120343.0
54,21.0,Divorced,State government,2545,25.0,Female,1,30500.0,6,26736.0
36,22.0,Married,Local government,2205,20.0,Female,6,40400.0,6,48309.0
46,22.0,Married,"Self-employed, unincorporated",2600,40.0,Female,6,1300.0,6,2900.0
64,21.0,Married,"Private, for-profit",1600,35.0,Male,1,38540.0,6,29274.0
62,19.0,Married,"Private, for-profit",1010,40.0,Male,1,161000.0,6,160179.0
40,22.0,Married,Local government,5240,40.0,Female,6,102000.0,6,103918.0
34,16.0,Never married,"Private, for-profit",9620,40.0,Male,8,54000.0,6,45762.0
18,,Never married,"Private, for-profit",4720,4.0,Male,6,6700.0,6,6653.0
60,21.0,Widowed,"Self-employed, unincorporated",9142,40.0,Male,1,48200.0,6,47153.0
32,19.0,Married,"Private, for-profit",440,40.0,Male,2,36400.0,6,33536.0
19,16.0,Never married,"Private, for-profit",4130,4.0,Male ,1,,6,
70,,Married,"Self-employed, unincorporated",205,,Male,1,75300.0,6,77898.0
51,11.0,Married,"Private, for-profit",7700,25.0,Female,1,18800.0,6,17657.0
57,21.0,Married,Family business (unpaid),4820,80.0,Male,1,8700.0,6,12403.0
71,19.0,Married,"Private, for-profit",5120,40.0,Male,6,64000.0,6,78303.0
21,19.0,Never married,"Private, for-profit",9005,30.0,Female,1,17000.0,6,21242.0
57,19.0,Married,"Private, for-profit",4950,20.0,Female,1,10000.0,6,-2023.0
